Strain ,Replicate,Ratio,ADE_%,Time,Plate Counts,Dilution Factor,Cells,ADE Colonies,LYS Colonies,ADE
S23_S24,2,0.8,0,24,83,75000,6225000,43,24,64.17910448
S23_S24,3,0.8,0,24,77,75000,5775000,36,27,57.14285714
S23_S24,1,0.05,0,48,127,75000,9525000,79,45,63.70967742
S23_S24,2,0.05,0,48,122,75000,9150000,84,32,72.4137931
S23_S24,3,0.05,0,48,138,75000,10350000,84,43,66.14173228
S23_S24,1,0.2,0,48,92,75000,6900000,44,41,51.76470588
S23_S24,2,0.2,0,48,67,75000,5025000,43,38,53.08641975
S23_S24,3,0.2,0,48,90,75000,6750000,25,43,36.76470588
S23_S24,1,0.35,0,48,93,75000,6975000,22,41,34.92063492
S23_S24,2,0.35,0,48,48,75000,3600000,21,41,33.87096774
S23_S24,3,0.35,0,48,53,75000,3975000,15,38,28.30188679
S23_S24,1,0.6,0,48,71,75000,5325000,25,42,37.31343284
S23_S24,2,0.6,0,48,77,75000,5775000,28,41,40.57971014
S23_S24,3,0.6,0,48,67,75000,5025000,22,37,37.28813559
S23_S24,1,0.8,0,48,46,75000,3450000,25,18,58.13953488
S23_S24,2,0.8,0,48,55,75000,4125000,29,20,59.18367347
S23_S24,3,0.8,0,48,64,75000,4800000,29,26,52.72727273
S23_S24,1,0.05,0,72,228,100000,22800000,101,48,67.7852349
S23_S24,3,0.05,0,72,211,100000,21100000,108,50,68.35443038
S23_S24,1,0.2,0,72,190,100000,19000000,100,46,68.49315068
S23_S24,2,0.2,0,72,229,100000,22900000,129,28,82.1656051
S23_S24,3,0.2,0,72,282,100000,28200000,136,47,74.31693989
S23_S24,1,0.35,0,72,129,100000,12900000,76,32,70.37037037
S23_S24,2,0.35,0,72,160,100000,16000000,84,34,71.18644068
S23_S24,3,0.35,0,72,189,100000,18900000,97,39,71.32352941
S23_S24,1,0.6,0,72,128,100000,12800000,75,36,67.56756757
S23_S24,2,0.6,0,72,127,100000,12700000,71,29,71
S23_S24,3,0.6,0,72,124,100000,12400000,65,30,68.42105263
S23_S24,1,0.8,0,72,95,100000,9500000,50,30,62.5
S23_S24,2,0.8,0,72,98,100000,9800000,54,37,59.34065934
S23_S24,3,0.8,0,72,92,100000,9200000,44,34,56.41025641
S23_S24,1,0.05,0,96,195,200000,39000000,120,47,71.85628743
S23_S24,2,0.05,0,96,192,200000,38400000,110,44,71.42857143
S23_S24,3,0.05,0,96,124,200000,24800000,82,29,73.87387387
S23_S24,1,0.2,0,96,145,200000,29000000,75,31,70.75471698
S23_S24,2,0.2,0,96,144,200000,28800000,82,23,78.0952381
S23_S24,3,0.2,0,96,126,200000,25200000,72,28,72
S23_S24,1,0.35,0,96,150,200000,30000000,86,29,74.7826087
S23_S24,2,0.35,0,96,121,200000,24200000,46,36,56.09756098
S23_S24,3,0.35,0,96,117,200000,23400000,73,28,72.27722772
S23_S24,1,0.6,0,96,73,200000,14600000,38,19,66.66666667
S23_S24,2,0.6,0,96,61,200000,12200000,31,19,62
S23_S24,3,0.6,0,96,58,200000,11600000,32,22,59.25925926
S23_S24,1,0.8,0,96,73,200000,14600000,34,26,56.66666667
S23_S24,2,0.8,0,96,61,200000,12200000,30,20,60
S23_S24,3,0.8,0,96,119,200000,23800000,60,28,68.18181818
S23_S24,1,0.05,0,120,53,1000000,53000000,32,21,60.37735849
S23_S24,2,0.05,0,120,46,1000000,46000000,30,13,69.76744186
S23_S24,3,0.05,0,120,24,1000000,24000000,18,6,75
S23_S24,1,0.2,0,120,34,1000000,34000000,22,9,70.96774194
S23_S24,2,0.2,0,120,47,1000000,47000000,32,6,84.21052632
S23_S24,3,0.2,0,120,28,1000000,28000000,19,0,100
S23_S24,1,0.35,0,120,33,1000000,33000000,22,8,73.33333333
S23_S24,2,0.35,0,120,43,1000000,43000000,32,10,76.19047619
S23_S24,3,0.35,0,120,46,1000000,46000000,24,21,53.33333333
S23_S24,1,0.6,0,120,27,1000000,27000000,20,7,74.07407407
S23_S24,2,0.6,0,120,45,1000000,45000000,35,7,83.33333333
S23_S24,3,0.6,0,120,35,1000000,35000000,19,10,65.51724138
S23_S24,1,0.8,0,120,26,1000000,26000000,13,8,61.9047619
S23_S24,2,0.8,0,120,58,1000000,58000000,32,21,60.37735849
S23_S24,3,0.8,0,120,20,1000000,20000000,6,13,31.57894737
S23_S24,1,0.05,0,144,59,1000000,59000000,43,10,81.13207547
S23_S24,2,0.05,0,144,74,1000000,74000000,41,21,66.12903226
S23_S24,3,0.05,0,144,78,1000000,78000000,47,22,68.11594203
S23_S24,1,0.2,0,144,39,1000000,39000000,26,11,70.27027027
S23_S24,2,0.2,0,144,58,1000000,58000000,26,30,46.42857143
S23_S24,3,0.2,0,144,52,1000000,52000000,34,16,68
S23_S24,1,0.35,0,144,46,1000000,46000000,33,13,71.73913043
S23_S24,2,0.35,0,144,43,1000000,43000000,32,6,84.21052632
S23_S24,3,0.35,0,144,27,1000000,27000000,20,12,62.5
S23_S24,1,0.6,0,144,27,1000000,27000000,6,18,25
S23_S24,2,0.6,0,144,37,1000000,37000000,26,9,74.28571429
S23_S24,3,0.6,0,144,44,1000000,44000000,26,22,54.16666667
S23_S24,1,0.8,0,144,27,1000000,27000000,22,3,88
S23_S24,2,0.8,0,144,16,1000000,16000000,7,9,43.75
S23_S24,3,0.8,0,144,29,1000000,29000000,21,9,70
